,Marcos 5 pies de alto x 5 pies de ancho,MES,RD$310.00,RD$262.71,,MINIBANNER CON LINK
,Marcos 6.5 pies de alto x 3.5 pies de ancho ,MES,RD$373.75,RD$316.74,,MINIBANNER CON LINK
,Crucetas de 2.00m,MES,RD$143.75,RD$121.82,,MINIBANNER CON LINK
,Acoples y springs,MES,RD$81.25,RD$68.86,,MINIBANNER CON LINK
,Plataformas de 2.00m,MES,RD$287.50,RD$243.64,,MINIBANNER CON LINK
,Bases niveladoras,MES,RD$137.50,RD$116.53,,MINIBANNER CON LINK
,Juego de ruedas con frenos,MES,RD$262.50,RD$222.46,,MINIBANNER CON LINK
,,,,,,
,ANDAMIOS METALICOS - COMPRA,,,,,
,Marcos 5 pies de alto x 5 pies de ancho,UND,"RD$5,250.00","RD$4,449.15",,MINIBANNER CON LINK
,Marcos 6 pies de alto x 3 pies de ancho ,UND,"RD$5,937.50","RD$5,031.78",,MINIBANNER CON LINK
,Crucetas de 1.80m,UND,"RD$1,625.00","RD$1,377.12",,MINIBANNER CON LINK
,Acoples y springs,UND,RD$612.50,RD$519.07,,MINIBANNER CON LINK
,Plataformas de 1.80m,UND,"RD$4,187.50","RD$3,548.73",,MINIBANNER CON LINK
,Bases niveladoras,UND,"RD$1,843.75","RD$1,562.50",,MINIBANNER CON LINK
,Juego de ruedas con frenos,UND,"RD$2,418.75","RD$2,049.79",,MINIBANNER CON LINK
,,,,,,
,MATERIALES DE SEGURIDAD LABORAL,,,,,
,Casco de seguridad North ANSI con suspensión de pasador,UND,"RD$1,025.00",RD$868.64,,MINIBANNER CON LINK
,Casco de seguridad North ANSI con suspensión trinquete,UND,"RD$1,680.00","RD$1,423.73",,MINIBANNER CON LINK
,Guante de seguridad latex sobre algodón - todo trabajo,UND,RD$550.00,RD$466.10,,MINIBANNER CON LINK
,Guante en nylon para trabajos con aceite,UND,RD$330.00,RD$279.66,,MINIBANNER CON LINK
